web-scraper-order,web-scraper-start-url,Content_links,Content_links-href,Constituents_Links,Constituents_Links-href,name,label,details,image-src
1727355372-1,https://en.wikipedia.org/wiki/FTSE_100_Index,"4
				Constituents",https://en.wikipedia.org/wiki/FTSE_100_Index#Constituents,WPP plc,https://en.wikipedia.org/wiki/WPP_plc,WPP plc,Company type,"LSE: WPP
NYSE: WPP
FTSE 100 Component",//upload.wikimedia.org/wikipedia/en/thumb/0/0c/Logo_of_WPP_plc.svg/170px-Logo_of_WPP_plc.svg.png
1727355372-2,https://en.wikipedia.org/wiki/FTSE_100_Index,"4
				Constituents",https://en.wikipedia.org/wiki/FTSE_100_Index#Constituents,WPP plc,https://en.wikipedia.org/wiki/WPP_plc,WPP plc,Company type,JE00B8KF9B49,//upload.wikimedia.org/wikipedia/en/thumb/0/0c/Logo_of_WPP_plc.svg/170px-Logo_of_WPP_plc.svg.png
1727355372-3,https://en.wikipedia.org/wiki/FTSE_100_Index,"4
				Constituents",https://en.wikipedia.org/wiki/FTSE_100_Index#Constituents,WPP plc,https://en.wikipedia.org/wiki/WPP_plc,WPP plc,Company type,CommunicationsAdvertisingPublic relations,//upload.wikimedia.org/wikipedia/en/thumb/0/0c/Logo_of_WPP_plc.svg/170px-Logo_of_WPP_plc.svg.png
1727355372-4,https://en.wikipedia.org/wiki/FTSE_100_Index,"4
				Constituents",https://en.wikipedia.org/wiki/FTSE_100_Index#Constituents,WPP plc,https://en.wikipedia.org/wiki/WPP_plc,WPP plc,Company type,Communications,//upload.wikimedia.org/wikipedia/en/thumb/0/0c/Logo_of_WPP_plc.svg/170px-Logo_of_WPP_plc.svg.png
1727355372-5,https://en.wikipedia.org/wiki/FTSE_100_Index,"4
				Constituents",https://en.wikipedia.org/wiki/FTSE_100_Index#Constituents,WPP plc,https://en.wikipedia.org/wiki/WPP_plc,WPP plc,Company type,Advertising,//upload.wikimedia.org/wikipedia/en/thumb/0/0c/Logo_of_WPP_plc.svg/170px-Logo_of_WPP_plc.svg.png
1727355372-6,https://en.wikipedia.org/wiki/FTSE_100_Index,"4
				Constituents",https://en.wikipedia.org/wiki/FTSE_100_Index#Constituents,WPP plc,https://en.wikipedia.org/wiki/WPP_plc,WPP plc,Company type,Public relations,//upload.wikimedia.org/wikipedia/en/thumb/0/0c/Logo_of_WPP_plc.svg/170px-Logo_of_WPP_plc.svg.png
1727355372-7,https://en.wikipedia.org/wiki/FTSE_100_Index,"4
				Constituents",https://en.wikipedia.org/wiki/FTSE_100_Index#Constituents,WPP plc,https://en.wikipedia.org/wiki/WPP_plc,WPP plc,Company type,"1971; 53 years ago (1971)
(Wire and Plastic Products plc)
1985
(Sorrell acquisition and entry into advertising)",//upload.wikimedia.org/wikipedia/en/thumb/0/0c/Logo_of_WPP_plc.svg/170px-Logo_of_WPP_plc.svg.png
1727355372-8,https://en.wikipedia.org/wiki/FTSE_100_Index,"4
				Constituents",https://en.wikipedia.org/wiki/FTSE_100_Index#Constituents,WPP plc,https://en.wikipedia.org/wiki/WPP_plc,WPP plc,Company type,Martin SorrellPreston Rabl(as an advertising company),//upload.wikimedia.org/wikipedia/en/thumb/0/0c/Logo_of_WPP_plc.svg/170px-Logo_of_WPP_plc.svg.png
1727355372-9,https://en.wikipedia.org/wiki/FTSE_100_Index,"4
				Constituents",https://en.wikipedia.org/wiki/FTSE_100_Index#Constituents,WPP plc,https://en.wikipedia.org/wiki/WPP_plc,WPP plc,Company type,Martin Sorrell,//upload.wikimedia.org/wikipedia/en/thumb/0/0c/Logo_of_WPP_plc.svg/170px-Logo_of_WPP_plc.svg.png
1727355372-10,https://en.wikipedia.org/wiki/FTSE_100_Index,"4
				Constituents",https://en.wikipedia.org/wiki/FTSE_100_Index#Constituents,WPP plc,https://en.wikipedia.org/wiki/WPP_plc,WPP plc,Company type,Preston Rabl,//upload.wikimedia.org/wikipedia/en/thumb/0/0c/Logo_of_WPP_plc.svg/170px-Logo_of_WPP_plc.svg.png
