"taxonomy1","taxonomy2","score"
"Stone Cutting / Polishing / Grinding / Monuments","Monuments & Memorials","0.20833333"
"Fundraising Organizations (Charitable / Religious)","Social Services & NGOs","0"
"Retail - Butcher Shop","Butcher shop","0.65"
"Handyman / Handywoman / Miscellaneous Home Repair","Painting, Plastering & Wall Covering","0.015625"
"Retail - Portable Tools / Equipment Rental","Electronical Components Retailer","0.15"
"Retail - Grocery","Vegetarian Restaurants","0.08571429"
"Renovation - Residential (Singles / Semis / Townhouses)","Decorators & Interior Designers","0.014285714"
"Retail - Sporting Goods (No Firearms / Ammunition)","Sporting Goods Store","0.3"
"Auto Dealer (Used)","Automobile Dealers & Manufacturers","0.2631579"
"Landscaping / Gardening for Others (No Pesticide / Herbicide Application)","Landscaping & Lawn Services","0.16438356"
"Social / Counselling / Consulting Services","Health & Medical Association","0.07017544"
"Electrical Contractors - Industrial","Electrical & Wiring Contractors","0.5897436"
"Accountants / Auditors","Tax Preparation","0"
"Day Care / Nursery / Preschool","Preschools & Kindergartens","0.20930232"
"Construction - Fences / Decks","Fences & Ornamental Metal Work","0.1521739"
"Community / Civic / Special Interest Groups (Non-Medical)","Health & Medical Association","0.14925373"
"Landscaping / Gardening for Others (No Pesticide / Herbicide Application)","Landscaping & Lawn Services","0.16438356"
"Masonry (Brick / Stone / Stuccoing) Construction / Installation","Masonry Contractors","0.18644068"
"Auto Dealer (Used)","Automobile Dealers & Manufacturers","0.2631579"
"Window Cleaning / Eavestrough Cleaning (Low rise - 3 stories or less)","Window Cleaning Service","0.28333333"
"Photographers' Studios (Incl Away from Premises)","Photographers & Photographic Studios","0.45833334"
"Travel Agencies","Tour Operators","0.033333335"
"Carpentry, trim and millwork (No Wood Shop)","Home Builders & Renovation Contractors","0.026666667"
"Wholesale - Jewellery / Precious Stones / Clocks / Watches / Silverware","Railroad Service Companies","0.036144577"
"Housekeeping Service (Residential)","Window Cleaning Service","0.21276596"
"Retail - Electronics (Consumer / Office, No Off Premises Install/Repair)","Cable & Internet Providers","0.061728396"
"Recreational Vehicle Sales & Service (Snowmobiles, ATVs, Jet Skis, Scooters, E-Bikes, Golf Carts etc)","ATVs Dealers & Services","0.17582418"
"Home Stagers / Interior Decorators","Decorators & Interior Designers","0.55263156"
"Schools - Not Otherwise Classified (incl Business Colleges)","Clinics - Surgeons & Physicians","0.03797468"
"Roofing - Residential, No Heat Application","Metal Roofing","0.20454545"
"Retail - Party Goods Rental","Vintage Clothing Store","0.02173913"
"Millwright / Industrial Machinery Installation (No Agricultural)","Pumps & Hydraulics Manufacturing","0.03529412"
"Auto Dealer (Used)","Tour Operators","0"
"Retail - Dairy Products","Bakeries & Desserts","0.05263158"
"Housekeeping Service (Residential)","Housekeeping Services","0.5714286"
"Auto Repair Garage (No heavy trucks)","Auto Services","0.11363637"
"Auto Repair Garage (No heavy trucks)","Auto Services","0.11363637"
"Restaurants (No Liquor License)","Bakeries & Desserts","0.022222223"
"Campgrounds / Trailer Parks","RV Parks & Campgrounds","0.62068963"
"Restaurants (Food Court / Food Truck / Food Cart - No Canteen Trucks)","Middle Eastern Restaurants","0.21052632"
"Electrical Contractors - Residential","Security Guards & Patrol Services","0"
"Employment Agencies","Community Center","0.028571429"
"Excavation - in Virgin Soil","Excavation, Bulldozing & Demolition","0.25"
"Building Owner - Single Occupancy - Office","Marine Engineering Services","0.06896552"
"Painting / Wallpaper - (No Spray)","Painting, Plastering & Wall Covering","0.30952382"
"Millwright / Industrial Machinery Installation (No Agricultural)","Industrial Air Solutions","0.20588236"
"Janitorial Service (Commercial)","Office & Industrial Cleaning","0.14583333"
"Clinics - Not Otherwise Classified (No Doctors or Dentists Offices)","Clinics - Surgeons & Physicians","0.10526316"
"Strategic Consultants","Animal Preservation & Wildlife Control","0.05357143"
"Metal Products Manufacturing - Light, Not Otherwise Classified (incl Machine Shops / Tool & Die)","Machinery parts manufacturer","0.17894737"
"Restaurants (No Liquor License)","Hamburgers, Hot-Dogs & Sandwiches","0"
"Lawyers / Barristers / Solicitors","Criminal Justice Attorneys","0.018867925"
"Day Care / Nursery / Preschool","Daycare Centers","0.19444445"
"Electrical Contractors - Residential","Electrical & Wiring Contractors","0.5609756"
"Electrical Contractors - Residential","Electrical & Wiring Contractors","0.5609756"
"Retail - Tire Sales & Service (New)","Breaks, Wheels & Tire Dealers","0.12"
"Auto Repair Garage (No heavy trucks)","Auto Services","0.11363637"
"Photographers' Studios (Incl Away from Premises)","Photographers & Photographic Studios","0.45833334"
"Wholesale - Food (Dry and Canned Goods - No Dietary / Health Supplements)","Carriers & Brokers","0.02631579"
"Masonry (Brick / Stone / Stuccoing) Construction / Installation","Masonry Contractors","0.18644068"
"Metal Products Manufacturing - Light, Not Otherwise Classified (incl Machine Shops / Tool & Die)","Machinery parts manufacturer","0.17894737"
"Professional Associations","Social Services & NGOs","0.09756097"
"Construction - Commercial New - low rise - 3 stories or less","Roofing Contractors","0.07462686"
"Retail - Gifts & Decorative Items","Restaurants","0.07692308"
"Plumbing - Commercial","Notaries","0"
"Construction - Residential New (Singles / Semis)","Construction Services","0.33333334"
"Dry Cleaning (On Premises)","Dry Cleaners","0.31034482"
"Retail - Electronics (Install / Repair Off Premises)","Phone Repair & Services","0.15517241"
"Information Technology Consultants","Tech Companies","0.13636364"
"Baked Goods / Pasta Manufacturing","Bakeries & Desserts","0.08695652"
"Retail - Clothing (Women's, no Children's)","Clothing Stores","0.25"
"Renovation - Residential (Singles / Semis / Townhouses)","Home Builders & Renovation Contractors","0.1594203"
"Retail - Sporting Goods (No Firearms / Ammunition)","Malls & Shopping Center","0.046875"
"Insulation of Buildings (No asbestos / UFFI abatement)","Drywall & Insulation Contractors","0.15714286"
"Web Design","Photographers & Photographic Studios","0"
"Fundraising Organizations (Charitable / Religious)","Social Services & NGOs","0"
"Housekeeping Service (Residential)","Housekeeping Services","0.5714286"
"Restaurants (Liquor License - No Live Entertainment / Dancing)","Vegetarian Restaurants","0.1904762"
"Day Care / Nursery / Preschool","Daycare Centers","0.19444445"
"Auto Repair Garage (incl heavy trucks)","Adoption Agencies & Foster Care","0.03125"
"Auto Repair Garage (No heavy trucks)","Auto Services","0.11363637"
"Business Services - Not Otherwise Classified","Casino & Betting","0.054545455"
"Janitorial Service (Commercial)","Employment Agencies & HR Consulting","0.033333335"
"Construction - Residential New (Singles / Semis)","Construction Services","0.33333334"
"Home Stagers / Interior Decorators","Cinemas & Video Theaters","0.057692308"
"Auto Repair Garage (No heavy trucks)","Auto Services","0.11363637"
"Landscaping / Gardening for Others (No Pesticide / Herbicide Application)","Landscaping Supplies","0.20588236"
"Construction - Residential New (Townhouses / Apartments / Condos) - low rise - 3 stories or less","Construction Services","0.1764706"
"Retail - Tire Sales & Service (New)","Auto Services","0.22857143"
"Clothing Manufacturing (Accessories / Misc)","Dive Shops","0"
"Building Owner - Multiple Occupancy - Office","Investment Consultants & Financial Advisors","0.025316456"
"Fundraising Organizations (Charitable / Religious)","Wood Building Material Stores","0.026666667"
"Wholesale - Marine Supplies","Museums","0.030303031"
"Engineers","Electrical Engineering Services","0.24242425"
"Auto Repair Garage (No heavy trucks)","Auto Services","0.11363637"
"Retail - Furniture / Appliances / Lighting Fixtures (Install / Repair Off Premises)","Vaporizer Stores","0.024390243"
"Carpentry, trim and millwork (No Wood Shop)","Adoption Agencies & Foster Care","0.060606062"
"Dry Cleaning (Customer Drop-Off Only)","Work Clothing & Protection Equipment","0.06349207"
"Precast Concrete - Tilt Up Construction","Construction Services","0.29545453"
"Doors / Windows / Awnings / Sidings - Installation","Oil & Gas - Extraction & Distribution","0.06153846"
"Retail - Not Otherwise Classified","Mining & Gas Exploration","0"
"Handyman / Handywoman / Miscellaneous Home Repair","Home Builders & Renovation Contractors","0.104477614"
"Farm Implements / Machinery Service","Electric Vehicle Charging Station","0.014925373"
"Heating / Air Conditioning Equipment Installation / Service - Residential","Mechanical Contractors","0.049382716"
"Renovation - Residential (Singles / Semis / Townhouses)","Home Builders & Renovation Contractors","0.1594203"
"Retail - Fine Art (incl. Restoration)","Awards & Trophies & Plaques","0.018867925"
"Employment Agencies","Employment Agencies & HR Consulting","0.5882353"
"Sheet Metal Installation","Metal Fabrication Services","0.275"
"Electrical Contractors - Residential","Utility companies","0.04"
"Landscaping / Gardening for Others (No Pesticide / Herbicide Application)","Landscaping & Lawn Services","0.16438356"
"Household Moving / Packing Operations","Movers & Heavy Transportation","0.12727273"
"Retail - Tire Sales & Service (New)","Car Battery Store","0.044444446"
"Management Consultants","Environmental Engineering Services","0.037037037"
"Retail - Books / Flowers / Stationery","Salvage Merchandise & Thrift Store","0.032258064"
"Professional Associations","Agriculture & Farm Associations","0.31707317"
"Beauty Parlours / Barber Shops (Hairstyling / Manicures / Pedicures Only, No Estheticians)","Beauty Salons","0.1125"
"Pet Food Manufacturing / Processing","Pet Shops","0.10810811"
"Construction - Residential New (Singles / Semis)","General Contractors","0.06896552"
"Metal Products Manufacturing (Staircases / Railings)","Fences & Ornamental Metal Work","0.104477614"
"Installation of Flooring / Ceiling","Home Builders & Renovation Contractors","0.08064516"
"Wholesale - Not Otherwise Classified","Bakeries & Desserts","0"
"Renovation - Residential (Singles / Semis / Townhouses)","Home Builders & Renovation Contractors","0.1594203"
"Electrical Contractors - Industrial","Metal Fabrication Services","0.05357143"
"Restaurants (Liquor License - No Live Entertainment / Dancing)","Barbecue Restaurants","0.19672132"
"Retail - Bakeries","Bakeries & Desserts","0.36"
"Meeting and event planner","Wedding & Party Planners","0.23076923"
"Dance / Gymnastic / Martial Arts Schools","Martial Arts Gyms","0.39473686"
"Social / Counselling / Consulting Services","Special Needs Education","0.074074075"
"Accountants / Auditors","Auto Services","0.0625"
"Signs - Installation (low rise - 3 stories or less)","Signs & Commercial Screens","0.09836066"
"Insurance Agents / Brokers / Adjusters","Health Insurance Agency","0.33333334"
"Insurance Agents / Brokers / Adjusters","Health Insurance Agency","0.33333334"
"Carpentry, trim and millwork (No Wood Shop)","Furniture Stores","0.01754386"
"Beauty Parlours / Barber Shops (Hairstyling / Manicures / Pedicures Only, No Estheticians)","Hair Salons","0.074074075"
"Landscaping / Gardening for Others (No Pesticide / Herbicide Application)","Landscaping & Lawn Services","0.16438356"
"Auto Dealer (Used)","Automobile Dealers & Manufacturers","0.2631579"
"Wholesale - Food (Dry and Canned Goods - No Dietary / Health Supplements)","Bakeries & Desserts","0.025316456"
"Auto Dealer (Used)","Automobile Dealers & Manufacturers","0.2631579"
"Wholesale - Tobacco Products","CBD and Medical Marijuana","0"
"Restaurants (No Liquor License)","Restaurants","0.42857143"
"Restaurants (Food Court / Food Truck / Food Cart - No Canteen Trucks)","Vegetarian Restaurants","0.2264151"
"Engineers","Solar Energy Services","0.06896552"
"Construction - Residential New (Singles / Semis)","General Contractors","0.06896552"
"Construction - Concrete Foundations and Forming (low rise - 3 stories or less)","Concrete Work","0.13043478"
"Housekeeping Service (Residential)","Office & Industrial Cleaning","0.11111111"
"Painting / Wallpaper - (No Spray)","Painting, Plastering & Wall Covering","0.30952382"
"Restaurants (No Liquor License)","Chinese Restaurants","0.37142858"
"Canning and Preserving (Meat / Fish / Fruit / Vegetables)","Fruit & Vegetable - Markets & Stores","0.3"
"Drywall / Plastering / Acoustical","Drywall & Insulation Contractors","0.1509434"
"Drywall / Plastering / Acoustical","Drywall & Insulation Contractors","0.1509434"
